path,Bone_all,Skull_x,Bone_x,Rib_x,Shoulder_extremities_x,Stemum_x,Pelvis_x,LN_x,Extremities_x
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201656_32.hdf5,0,0,0,0,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181835_88.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_58.hdf5,1,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_234.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201664_375.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202253_120.hdf5,1,0,1,1,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201399_117.hdf5,0,0,1,1,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201664_9.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_281.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202253_190.hdf5,1,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202253_312.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201983_25.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201663_74.hdf5,1,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190538_32.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201399_28.hdf5,0,0,0,0,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_127.hdf5,0,0,1,1,1,1,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202108_230.hdf5,1,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201831_202.hdf5,1,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_40.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190538_266.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201790_2.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_23.hdf5,1,0,0,0,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201399_397.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_168.hdf5,0,0,1,0,0,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201663_371.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201663_361.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201708_115.hdf5,1,0,1,1,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201468_87.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201983_184.hdf5,0,0,1,0,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181835_273.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201468_225.hdf5,1,0,1,1,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190885_327.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_212.hdf5,0,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_228.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/191793_331.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_353.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181659_310.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201664_233.hdf5,1,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201996_7.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201983_87.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190885_161.hdf5,0,0,1,0,0,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/191793_321.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_190.hdf5,0,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202108_291.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201468_355.hdf5,0,0,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190564_191.hdf5,0,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/20191205_269.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201831_199.hdf5,1,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201996_212.hdf5,0,0,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201983_44.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_301.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181647_180.hdf5,1,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/191793_373.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201876_103.hdf5,1,0,1,0,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_32.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201708_56.hdf5,1,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201996_321.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181860_277.hdf5,0,0,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_303.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_165.hdf5,0,0,1,0,0,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201468_251.hdf5,1,0,1,1,1,1,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201468_326.hdf5,0,0,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201996_210.hdf5,0,0,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_126.hdf5,0,0,1,1,1,1,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190885_212.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202253_252.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181647_50.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_61.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/191486_255.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201664_439.hdf5,0,0,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/191793_134.hdf5,0,0,1,1,1,1,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_152.hdf5,0,0,1,1,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/202068_239.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201656_77.hdf5,1,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201831_160.hdf5,1,0,1,1,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_4.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/191486_321.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201468_170.hdf5,1,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201876_3.hdf5,0,0,0,0,1,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201708_113.hdf5,1,0,1,1,1,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/191793_292.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190538_226.hdf5,0,0,0,0,0,0,0,0,1
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/201664_228.hdf5,1,1,0,0,0,0,0,0,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190564_175.hdf5,0,0,1,0,0,0,0,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181552_53.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/190885_65.hdf5,0,0,0,0,1,0,1,1,0
/staff/shijun/dataset/Med_Seg/TMLI/2d_data/181835_39.hdf5,0,0,0,0,1,0,0,1,0
